endcap,station,ring,chamber,NSegments,xx,yy,zz,aa,bb,cc
1,2,2,16,19479,4.85E-05,0.00994814,0.009025,1.52E-07,2.26E-07,5.00E-09
1,2,2,17,14015,6.68E-05,0.0228222,0.009025,1.52E-07,2.26E-07,6.23E-09
1,2,2,18,11446,8.20E-05,0.0244148,0.009025,1.52E-07,2.26E-07,8.27E-09
1,2,2,19,15266,6.64E-05,0.0472591,0.009025,1.52E-07,2.26E-07,6.89E-09
1,2,2,20,18438,5.07E-05,0.0303766,0.009025,1.52E-07,2.26E-07,5.51E-09
1,2,2,21,14123,6.53E-05,0.0389959,0.009025,1.52E-07,2.26E-07,7.20E-09
1,2,2,22,19620,4.68E-05,0.0273759,0.009025,1.52E-07,2.26E-07,4.87E-09
1,2,2,23,19754,4.77E-05,0.0242773,0.009025,1.52E-07,2.26E-07,5.28E-09
1,2,2,24,19336,4.91E-05,0.00954258,0.009025,1.52E-07,2.26E-07,5.42E-09
1,2,2,25,15343,7.14E-05,0.0333476,0.009025,1.52E-07,2.26E-07,7.11E-09
1,2,2,26,14871,5.96E-05,0.0335088,0.009025,1.52E-07,2.26E-07,5.89E-09
1,2,2,27,14971,6.89E-05,0.0370816,0.009025,1.52E-07,2.26E-07,7.20E-09
1,2,2,28,21466,4.42E-05,0.00848097,0.009025,1.52E-07,2.26E-07,4.95E-09
1,2,2,29,18705,5.12E-05,0.0122553,0.009025,1.52E-07,2.26E-07,5.30E-09
1,2,2,30,12265,7.28E-05,0.04116,0.009025,1.52E-07,2.26E-07,7.17E-09
1,2,2,31,16551,5.88E-05,0.0385964,0.009025,1.52E-07,2.26E-07,6.24E-09
1,2,2,32,18877,4.89E-05,0.0287995,0.009025,1.52E-07,2.26E-07,5.36E-09
1,2,2,33,20129,4.75E-05,0.027823,0.009025,1.52E-07,2.26E-07,5.22E-09
1,2,2,34,16709,5.69E-05,0.0107607,0.009025,1.52E-07,2.26E-07,6.24E-09
1,2,2,35,11517,8.44E-05,0.0454879,0.009025,1.52E-07,2.26E-07,7.66E-09
